OBJECTID,CODIGO_ACCIDENTADO,FORMULARIO,FECHA_OCURRENCIA_ACC,HORA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,MES_OCURRENCIA_ACC,DIA_OCURRENCIA_ACC,FECHA_HORA_ACC,DIRECCION,CLASE_ACC,LOCALIDAD,CODIGO_VEHICULO,CONDICION,MUERTE_POSTERIOR,FECHA_POSTERIOR_MUERTE,GENERO,EDAD,CONDICION_A,x,y
951114,2679111,A000757285,1517374800000,07:58:00,2018,ENERO,MIERCOLES,1517403480000,AC 57R-KR 73I S 55,CHOQUE,CIUDAD BOLIVAR,2,MOTOCICLISTA,N,NA,FEMENINO,28,MOTOCICLISTA,-74.17317292199999,4.59625020499999
951118,2679115,A000757131,1517461200000,19:30:00,2018,FEBRERO,JUEVES,1517531400000,TR 18I-CL 69 S 15,ATROPELLO,CIUDAD BOLIVAR,NA,PEATON,NA,NA,MASCULINO,29,PEATON,-74.144368095,4.549598773000014
951468,2692687,A000763673,1522386000000,12:55:00,2018,MARZO,VIERNES,1522432500000,KR 6-CL 45 22,CAIDA DE OCUPANTE,CHAPINERO,NA,PEATON,S,1522731600000,FEMENINO,57,PEATON,-74.06336226000002,4.631505010000012
951650,2691119,A000763594,1521954000000,04:30:00,2018,MARZO,DOMINGO,1521970200000,AK 30-CL 71 77,VOLCAMIENTO,BARRIOS UNIDOS,1,MOTOCICLISTA,S,1521954000000,MASCULINO,24,MOTOCICLISTA,-74.07474810999997,4.666502949999995
951655,2691123,A000763594,1521954000000,04:30:00,2018,MARZO,DOMINGO,1521970200000,AK 30-CL 71 77,VOLCAMIENTO,BARRIOS UNIDOS,1,PASAJERO,S,1521954000000,MASCULINO,25,MOTOCICLISTA,-74.07474810999997,4.666502949999995
951700,2690327,A000759074,1521694800000,07:30:00,2018,MARZO,JUEVES,1521721800000,AV AVENIDA BOYACA-CL 51 87,CHOQUE,ENGATIVA,2,MOTOCICLISTA,N,NA,MASCULINO,21,MOTOCICLISTA,-74.10881334999999,4.669586460000005
952092,2680785,A000760987,1518152400000,05:55:00,2018,FEBRERO,VIERNES,1518173700000,AV AVENIDA BOYACA-CL 51 S 44,ATROPELLO,TUNJUELITO,NA,PEATON,NA,NA,FEMENINO,64,PEATON,-74.145126549,4.590926039999999
952255,2693436,A000764662,1522818000000,10:30:00,2018,ABRIL,MIERCOLES,1522855800000,KR 74-CL 40C S 2,ATROPELLO,KENNEDY,NA,PEATON,S,1523422800000,MASCULINO,83,PEATON,-74.15349106000002,4.614445799999999
952415,2693589,A000763841,1522904400000,22:50:00,2018,ABRIL,JUEVES,1522986600000,KR 15-CL 47A S 53,VOLCAMIENTO,SAN CRISTOBAL,2,MOTOCICLISTA,N,NA,MASCULINO,29,MOTOCICLISTA,-74.084,4.536900000000003
952417,2693591,A000764599,1522731600000,09:35:00,2018,ABRIL,MARTES,1522766100000,KR 6H-CL 77B S 02,ATROPELLO,USME,NA,PEATON,S,1522731600000,FEMENINO,77,PEATON,-74.10828319699999,4.511174675000007
