OBJECTID;CODIGO_ACCIDENTADO;FORMULARIO;FECHA_OCURRENCIA_ACC;HORA_OCURRENCIA_ACC;ANO_OCURRENCIA_ACC;MES_OCURRENCIA_ACC;DIA_OCURRENCIA_ACC;FECHA_HORA_ACC;DIRECCION;CLASE_ACC;LOCALIDAD;CODIGO_VEHICULO;CONDICION;MUERTE_POSTERIOR;FECHA_POSTERIOR_MUERTE;GENERO;EDAD;CONDICION_A
1325605;2417696;A1445192;1,40549E+12;19:00:00;2014;JULIO;MIERCOLES;1,40556E+12;KR 79-CL40C S 99;ATROPELLO;KENNEDY;NA;PEATON;S;1,40557E+12;MASCULINO;42;PEATON
1325751;2416787;A1444278;1,40505E+12;19:30:00;2014;JULIO;VIERNES;1,40513E+12;KR 30-CL29 S 02;CHOQUE;ANTONIO NARINO;1;PASAJERO;NA;NA;FEMENINO;15;PASAJERO
1325895;2415008;A1443910;1,40428E+12;21:25:00;2014;JULIO;MIERCOLES;1,40435E+12;AV AVENIDA CARACAS-CL 43 44;ATROPELLO;CHAPINERO;NA;PEATON;NA;NA;MASCULINO;17;PEATON
1326071;2416110;A1444164;1,4048E+12;7:07:00;2014;JULIO;MARTES;1,40482E+12;AV AVENIDA CIUDAD DE VILLAVICENCIO-CL 81G 56;OTRO;KENNEDY;1;CICLISTA;S;1,4048E+12;MASCULINO;19;CICLISTA
1326419;2403459;A1438146;1,39944E+12;13:25:00;2014;MAYO;MIERCOLES;1,39949E+12;TR 4-CL43 87;CHOQUE;CHAPINERO;NA;PEATON;S;1,39944E+12;MASCULINO;55;PEATON
1326423;2403463;A1436284;1,39935E+12;17:30:00;2014;MAYO;MARTES;1,39942E+12;CL 8-KR68 S 10;ATROPELLO;KENNEDY;NA;PEATON;NA;NA;FEMENINO;60;PEATON
1326686;2418716;A1445120;1,40601E+12;7:50:00;2014;JULIO;MARTES;1,40603E+12;CL 26-KR52C S 50;ATROPELLO;PUENTE ARANDA;NA;PEATON;NA;NA;FEMENINO;83;PEATON
1326858;2415971;A1443324;1,40419E+12;6:00:00;2014;JULIO;MARTES;1,40421E+12;AC 127-KR43 02;CHOQUE;SUBA;2;PASAJERO;S;1,40419E+12;MASCULINO;25;PASAJERO
1327004;2416116;A1443850;1,4048E+12;17:45:00;2014;JULIO;MARTES;1,40486E+12;AV AVENIDA SUBA-KR 103 05;ATROPELLO;SUBA;NA;PEATON;NA;NA;MASCULINO;59;PEATON
1327156;2416271;A1443962;1,40488E+12;5:15:00;2014;JULIO;MIERCOLES;1,4049E+12;AK 7-CL60 02;CHOQUE;CHAPINERO;2;MOTOCICLISTA;NA;NA;FEMENINO;37;MOTOCICLISTA
1327171;2417223;A1444705;1,40531E+12;6:25:00;2014;JULIO;LUNES;1,40534E+12;AV AVENIDA CIUDAD DE CALI-CL 64 02;CHOQUE;ENGATIVA;2;CICLISTA;S;1,40531E+12;MASCULINO;63;CICLISTA
1327179;2417233;A1444191;1,40531E+12;22:00:00;2014;JULIO;LUNES;1,40539E+12;CL 17-KR 123 02;CHOQUE;FONTIBON;1;MOTOCICLISTA;NA;NA;MASCULINO;46;MOTOCICLISTA
1327695;2417808;A1444278;1,40505E+12;19:30:00;2014;JULIO;VIERNES;1,40513E+12;KR 30-CL29 S 02;CHOQUE;ANTONIO NARINO;1;PASAJERO;S;1,40523E+12;MASCULINO;39;PASAJERO
1327706;2417819;A1444586;1,40557E+12;7:58:00;2014;JULIO;JUEVES;1,4056E+12;AV AVENIDA PRIMERO DE MAYO-CL 38 S 03;CHOQUE;KENNEDY;1;PASAJERO;NA;NA;MASCULINO;36;MOTOCICLISTA
1327815;2416937;A1443963;1,40523E+12;4:11:00;2014;JULIO;DOMINGO;1,40524E+12;AV AVENIDA CIUDAD DE CALI-KR 95A 02;AUTOLESION;SUBA;1;MOTOCICLISTA;NA;NA;MASCULINO;21;MOTOCICLISTA
1328368;2405434;A1439885;1,40039E+12;3:10:00;2014;MAYO;DOMINGO;1,4004E+12;KR 87-CL70 S 02;CHOQUE;BOSA;1;PASAJERO;NA;NA;MASCULINO;27;MOTOCICLISTA
1328379;2405445;A1439549;1,40022E+12;23:20:00;2014;MAYO;VIERNES;1,4003E+12;AC 80-KR85A 02;ATROPELLO;ENGATIVA;NA;PEATON;NA;NA;MASCULINO;19;PEATON
1328529;2405595;A1439886;1,40039E+12;15:00:00;2014;MAYO;DOMINGO;1,40044E+12;KR 10-CL19 02;ATROPELLO;SANTA FE;NA;PEATON;NA;NA;FEMENINO;51;PEATON
1328693;2418807;A1445121;1,40609E+12;4:45:00;2014;JULIO;MIERCOLES;1,40611E+12;AV AVENIDA PRIMERO DE MAYO-KR 12A 69;ATROPELLO;RAFAEL URIBE URIBE;NA;PEATON;NA;NA;MASCULINO;32;PEATON
