OBJECTID;CODIGO_ACCIDENTADO;FORMULARIO;FECHA_OCURRENCIA_ACC;HORA_OCURRENCIA_ACC;ANO_OCURRENCIA_ACC;MES_OCURRENCIA_ACC;DIA_OCURRENCIA_ACC;FECHA_HORA_ACC;DIRECCION;CLASE_ACC;LOCALIDAD;CODIGO_VEHICULO;CONDICION;MUERTE_POSTERIOR;FECHA_POSTERIOR_MUERTE;GENERO;EDAD;CONDICION_A
68;14304163;AA1247082;1,36229E+12;11:20:00;2013;MARZO;DOMINGO;1,36233E+12;KR 7-CL164 02;ATROPELLO;USAQUEN;NA;PEATON;S;1,36237E+12;FEMENINO;75;PEATON
704;14297899;AA1249020;1,36358E+12;10:50:00;2013;MARZO;LUNES;1,36362E+12;AV AVENIDA BOYACA-KR 31 27;ATROPELLO;CIUDAD BOLIVAR;NA;PEATON;N;NA;MASCULINO;71;PEATON
933;14201199;AA0874129;1,29705E+12;9:30:00;2011;FEBRERO;LUNES;1,29709E+12;KR 20A-CL28 02;CAIDA DE OCUPANTE;TEUSAQUILLO;1;PASAJERO;S;1,29731E+12;FEMENINO;26;PASAJERO
1040;14181634;AA0883869;1,30569E+12;22:00:00;2011;MAYO;MIERCOLES;1,30577E+12;AV AVENIDA BOYACA-DG 51 S 02;CHOQUE;TUNJUELITO;1;PEATON;N;NA;MASCULINO;22;PEATON
1611;14181658;AA0878001;1,30025E+12;8:50:00;2011;MARZO;MIERCOLES;1,30028E+12;KR 29B-CL10 02;CHOQUE;LOS MARTIRES;1;CONDUCTOR;N;NA;MASCULINO;42;CONDUCTOR
1699;14194932;AA0935153;1,30811E+12;6:30:00;2011;JUNIO;MIERCOLES;1,30814E+12;KR 112-CL23D 02;CHOQUE;FONTIBON;2;CONDUCTOR;S;1,30846E+12;MASCULINO;43;CONDUCTOR
1901;14181741;AA00800228;1,29429E+12;9:30:00;2011;ENERO;JUEVES;1,29432E+12;KR 74A-CL 24B 10;OTRO;FONTIBON;1;PEATON;N;NA;MASCULINO;82;PEATON
2013;14187802;AA0874109;1,29714E+12;14:10:00;2011;FEBRERO;MARTES;1,29719E+12;KR 87D-CL53 S 02;CAIDA DE OCUPANTE;BOSA;1;PASAJERO;S;1,29801E+12;FEMENINO;68;PASAJERO
2347;14193219;AA0935108;1,30777E+12;20:10:00;2011;JUNIO;SABADO;1,30784E+12;AC 13-KR72 02;CAIDA DE OCUPANTE;FONTIBON;1;PASAJERO;S;1,30777E+12;MASCULINO;32;PASAJERO
2428;14193707;AA0884802;1,30673E+12;13:30:00;2011;MAYO;LUNES;1,30678E+12;AK 30-CL51 02;CHOQUE;TEUSAQUILLO;2;CONDUCTOR;S;1,3069E+12;MASCULINO;24;CONDUCTOR
2451;14202016;AA0885060;1,30682E+12;7:00:00;2011;MAYO;MARTES;1,30684E+12;AK 30-CL22 45;ATROPELLO;PUENTE ARANDA;NA;PEATON;S;1,30431E+12;MASCULINO;58;PEATON
2648;14189087;AA0935692;1,30837E+12;2:58:00;2011;JUNIO;SABADO;1,30838E+12;CL 57B-KR71B S 02;ATROPELLO;BOSA;NA;PEATON;S;1,30846E+12;MASCULINO;27;PEATON
3043;14187001;AA00797165;1,29014E+12;11:30:00;2010;NOVIEMBRE;VIERNES;1,29018E+12;KR 110Q-CL71C 22;ATROPELLO;ENGATIVA;NA;PEATON;S;1,29109E+12;FEMENINO;18;PEATON
3148;14203981;AA0885168;1,30742E+12;14:50:00;2011;JUNIO;MARTES;1,30748E+12;AK 30-CL12 02;ATROPELLO;LOS MARTIRES;NA;PEATON;S;1,30742E+12;MASCULINO;NA;PEATON
3601;14192507;AA0880884;1,30328E+12;14:00:00;2011;ABRIL;MIERCOLES;1,30333E+12;KR 86-CL5A S 02;ATROPELLO;KENNEDY;NA;PEATON;S;1,30345E+12;MASCULINO;21;PEATON
3732;87552;712272600;1,17247E+12;17:50:00;2007;FEBRERO;LUNES;1,17253E+12;AV BOYACA-CL 61 S ;CHOQUE;CIUDAD BOLIVAR;2;CICLISTA;NA;NA;MASCULINO;52;CICLISTA
3834;87252;712064700;1,16953E+12;14:15:00;2007;ENERO;MARTES;1,16958E+12;KR 80-59 S 35;CHOQUE;BOSA;2;CONDUCTOR;NA;NA;MASCULINO;32;CONDUCTOR
3973;87907;712532600;1,17298E+12;0:45:00;2007;MARZO;DOMINGO;1,17299E+12;AV BOYACA-CL 38 S 9;CHOQUE;KENNEDY;1;CONDUCTOR;NA;NA;MASCULINO;22;CONDUCTOR
4429;86859;711745000;1,1691E+12;23:07:00;2007;ENERO;JUEVES;1,16918E+12;CL 75-34 S 5;CHOQUE;CIUDAD BOLIVAR;1;MOTOCICLISTA;NA;NA;MASCULINO;25;MOTOCICLISTA
4540;86915;711802300;1,16806E+12;16:20:00;2007;ENERO;SABADO;1,16812E+12;CL 153-102 22;CHOQUE;SUBA;2;CONDUCTOR;NA;NA;MASCULINO;36;CONDUCTOR
4952;88749;713105800;1,17895E+12;7:00:00;2007;MAYO;SABADO;1,17897E+12;KR 68-69B 20;CHOQUE;ENGATIVA;2;CONDUCTOR;NA;NA;MASCULINO;85;CONDUCTOR
5134;88224;712752200;1,17618E+12;4:00:00;2007;ABRIL;MARTES;1,1762E+12;AV 1 DE MAYO-AV BOYACA ;CHOQUE;KENNEDY;1;MOTOCICLISTA;NA;NA;MASCULINO;28;MOTOCICLISTA
5213;88303;712802200;1,17592E+12;13:45:00;2007;ABRIL;SABADO;1,17597E+12;KR 93-130 ;CHOQUE;SUBA;2;CONDUCTOR;NA;NA;MASCULINO;42;CONDUCTOR
5229;88438;712894000;1,17696E+12;6:25:00;2007;ABRIL;JUEVES;1,17698E+12;AV CIUDAD VILLAVIC-KR 85A ;CHOQUE;KENNEDY;2;CICLISTA;NA;NA;MASCULINO;54;CICLISTA
5263;88570;713001500;1,17782E+12;0:45:00;2007;ABRIL;DOMINGO;1,17783E+12;AV ROJAS PINILLA-CL 65 ;CHOQUE;ENGATIVA;1;CICLISTA;NA;NA;MASCULINO;49;CICLISTA
5542;88058;712613300;1,17368E+12;19:50:00;2007;MARZO;LUNES;1,17375E+12;KR 51-47 S 11;CHOQUE;TUNJUELITO;2;CONDUCTOR;NA;NA;MASCULINO;17;CONDUCTOR
5595;88358;712840600;1,17808E+12;16:10:00;2007;MAYO;MIERCOLES;1,17814E+12;AV LAS AMERICA-KR 59 29;CHOQUE;PUENTE ARANDA;2;CONDUCTOR;NA;NA;MASCULINO;44;CONDUCTOR
5684;92381;728249100;1,19674E+12;12:15:00;2007;DICIEMBRE;MARTES;1,19679E+12;AK 9-141 0;CHOQUE;USAQUEN;2;CICLISTA;NA;NA;MASCULINO;54;CICLISTA
5766;91270;727714200;1,19147E+12;23:27:00;2007;OCTUBRE;JUEVES;1,19156E+12;AV 1 DE MAYO-AV BOYACA 0;CHOQUE;KENNEDY;1;MOTOCICLISTA;NA;NA;MASCULINO;27;MOTOCICLISTA
5792;91296;727727400;1,19165E+12;15:55:00;2007;OCTUBRE;SABADO;1,1917E+12;AC 17-128 5;CHOQUE;FONTIBON;1;CONDUCTOR;NA;NA;MASCULINO;18;CONDUCTOR
5793;91297;727727500;1,19217E+12;22:45:00;2007;OCTUBRE;VIERNES;1,19225E+12;CL 38-98 S 11;VOLCAMIENTO;KENNEDY;1;CONDUCTOR;NA;NA;MASCULINO;36;CONDUCTOR
5961;92468;728314900;1,19553E+12;14:15:00;2007;NOVIEMBRE;MARTES;1,19559E+12;AK 14-4 0;CHOQUE;SANTA FE;2;CICLISTA;NA;NA;MASCULINO;18;CICLISTA
6047;90603;727433200;1,18888E+12;21:30:00;2007;SEPTIEMBRE;MARTES;1,18896E+12;AC 72-69C 13;CHOQUE;ENGATIVA;2;CICLISTA;NA;NA;FEMENINO;39;CICLISTA
6255;88780;713140400;1,17877E+12;21:10:00;2007;MAYO;JUEVES;1,17885E+12;CL 18-102 56;CHOQUE;FONTIBON;2;MOTOCICLISTA;NA;NA;MASCULINO;18;MOTOCICLISTA
6335;89750;727025200;1,18612E+12;6:30:00;2007;AGOSTO;VIERNES;1,18614E+12;KR 86-24A S 19;CHOQUE;KENNEDY;2;CONDUCTOR;NA;NA;MASCULINO;65;CONDUCTOR
6364;89779;727039100;1,18525E+12;16:00:00;2007;JULIO;MARTES;1,18531E+12;CL 74-80J S 69;CHOQUE;BOSA;2;CICLISTA;NA;NA;MASCULINO;7;CICLISTA
6411;92126;728115100;1,19433E+12;20:35:00;2007;NOVIEMBRE;MARTES;1,1944E+12;KR 116-17 0;CHOQUE;FONTIBON;2;CONDUCTOR;NA;NA;MASCULINO;NA;CONDUCTOR
6419;92167;728130500;1,19493E+12;15:30:00;2007;NOVIEMBRE;MARTES;1,19499E+12;KR 111C-67B 0;CHOQUE;ENGATIVA;2;CONDUCTOR;NA;NA;MASCULINO;17;CONDUCTOR
6426;92174;728141300;1,19458E+12;23:30:00;2007;NOVIEMBRE;VIERNES;1,19467E+12;CL 42-14 BISC 17;CHOQUE;RAFAEL URIBE URIBE;1;MOTOCICLISTA;NA;NA;MASCULINO;25;MOTOCICLISTA
6491;90668;727453200;1,18862E+12;6:20:00;2007;SEPTIEMBRE;SABADO;1,18865E+12;AV CENTENARIO-KR 81A 7;CHOQUE;FONTIBON;1;MOTOCICLISTA;NA;NA;MASCULINO;28;MOTOCICLISTA
6758;89476;726876800;1,18378E+12;5:18:00;2007;JULIO;SABADO;1,1838E+12;AK 7-165 0;CHOQUE;USAQUEN;1;MOTOCICLISTA;NA;NA;MASCULINO;26;MOTOCICLISTA
6943;91308;727732700;1,19225E+12;22:01:00;2007;OCTUBRE;SABADO;1,19233E+12;CL 20C-106 0;CHOQUE;FONTIBON;1;CONDUCTOR;NA;NA;MASCULINO;33;CONDUCTOR
6993;91358;727763500;1,19191E+12;0:25:00;2007;OCTUBRE;MARTES;1,19191E+12;AV CENTENARIO-CL 13 108;CHOQUE;FONTIBON;2;CICLISTA;NA;NA;MASCULINO;41;CICLISTA
7162;91715;727927200;1,19337E+12;13:40:00;2007;OCTUBRE;VIERNES;1,19342E+12;AK 68-35A S 0;CHOQUE;KENNEDY;2;CONDUCTOR;NA;NA;MASCULINO;54;CONDUCTOR
7264;88840;726308100;1,17903E+12;23:40:00;2007;MAYO;DOMINGO;1,17912E+12;AK 68-64 32;CHOQUE;BARRIOS UNIDOS;2;CICLISTA;NA;NA;MASCULINO;58;CICLISTA
7273;88904;726413200;1,18016E+12;19:00:00;2007;MAYO;SABADO;1,18022E+12;KR 89B-54 S 0;CHOQUE;BOSA;2;CICLISTA;NA;NA;MASCULINO;35;CICLISTA
7303;88934;726438700;1,18249E+12;4:30:00;2007;JUNIO;VIERNES;1,1825E+12;AV BOYACA-CL 79 S 30;CHOQUE;CIUDAD BOLIVAR;1;CONDUCTOR;NA;NA;MASCULINO;50;CONDUCTOR
7312;88943;726456900;1,19165E+12;22:28:00;2007;OCTUBRE;SABADO;1,19173E+12;KR 2-5A 3;CHOQUE;CANDELARIA;1;CICLISTA;NA;NA;MASCULINO;31;CICLISTA
7816;89013;726519100;1,18085E+12;11:30:00;2007;JUNIO;DOMINGO;1,18089E+12;AK 7-161 57;CHOQUE;USAQUEN;2;CONDUCTOR;NA;NA;MASCULINO;67;CONDUCTOR
7817;89014;726519200;1,18093E+12;16:15:00;2007;JUNIO;LUNES;1,18099E+12;AK 68-17 S 0;CHOQUE;PUENTE ARANDA;2;CICLISTA;NA;NA;MASCULINO;41;CICLISTA
7818;89015;726519300;1,18111E+12;14:50:00;2007;JUNIO;MIERCOLES;1,18116E+12;KR 79-42G S 10;CHOQUE;KENNEDY;1;CICLISTA;NA;NA;MASCULINO;9;CICLISTA
8115;90012;727166700;1,18707E+12;6:50:00;2007;AGOSTO;MARTES;1,18709E+12;AV BOYACA-CL 72B S 24;CHOQUE;CIUDAD BOLIVAR;2;MOTOCICLISTA;NA;NA;MASCULINO;33;MOTOCICLISTA
8116;90013;727166800;1,18759E+12;4:40:00;2007;AGOSTO;LUNES;1,1876E+12;AV BOYACA-CL 138 0;CHOQUE;SUBA;1;CONDUCTOR;NA;NA;MASCULINO;23;CONDUCTOR
8117;90014;727166900;1,18785E+12;4:15:00;2007;AGOSTO;JUEVES;1,18786E+12;AK 19-116 0;CHOQUE;USAQUEN;1;CONDUCTOR;NA;NA;MASCULINO;26;CONDUCTOR
8132;90029;727171000;1,18646E+12;20:50:00;2007;AGOSTO;MARTES;1,18654E+12;AK 30-49A 34;CHOQUE;TEUSAQUILLO;1;MOTOCICLISTA;NA;NA;MASCULINO;22;MOTOCICLISTA
8308;89126;726617600;1,1824E+12;8:30:00;2007;JUNIO;JUEVES;1,18243E+12;CL 132-152 0;CHOQUE;SUBA;2;CICLISTA;NA;NA;FEMENINO;37;CICLISTA
8537;89165;726637300;1,18249E+12;12:15:00;2007;JUNIO;VIERNES;1,18253E+12;AK 100-235 38;CHOQUE;FONTIBON;2;CICLISTA;NA;NA;MASCULINO;67;CICLISTA
8564;89192;726825400;1,18353E+12;22:40:00;2007;JULIO;MIERCOLES;1,18361E+12;KR 24-9 2;CHOQUE;LOS MARTIRES;2;CONDUCTOR;NA;NA;MASCULINO;62;CONDUCTOR
8584;89212;726645400;1,18214E+12;15:50:00;2007;JUNIO;LUNES;1,1822E+12;AV CENTENARIO-KR 111 40;CHOQUE;FONTIBON;2;CONDUCTOR;NA;NA;MASCULINO;29;CONDUCTOR
8813;89251;726670500;1,18197E+12;5:45:00;2007;JUNIO;SABADO;1,18199E+12;KR 60-66B 40;CHOQUE;BARRIOS UNIDOS;1;CONDUCTOR;NA;NA;MASCULINO;33;CONDUCTOR
8814;89252;726670600;1,18223E+12;1:37:00;2007;JUNIO;MARTES;1,18224E+12;AV SUBA-AV BOYACA 0;CHOQUE;SUBA;1;MOTOCICLISTA;NA;NA;MASCULINO;19;MOTOCICLISTA
9227;91123;727666000;1,19052E+12;5:15:00;2007;SEPTIEMBRE;DOMINGO;1,19054E+12;KR 88C-58D S 20;CHOQUE;BOSA;1;CONDUCTOR;NA;NA;MASCULINO;40;CONDUCTOR
9390;90214;727243000;1,1875E+12;8:45:00;2007;AGOSTO;DOMINGO;1,18753E+12;AV CIUDAD DE CALI-CL 40B S 41;CHOQUE;KENNEDY;2;CONDUCTOR;NA;NA;MASCULINO;21;CONDUCTOR
9414;91498;727834900;1,19268E+12;6:00:00;2007;OCTUBRE;JUEVES;1,19271E+12;KR 18Q-66A S 0;CHOQUE;CIUDAD BOLIVAR;1;CICLISTA;NA;NA;MASCULINO;22;CICLISTA
9450;91534;727842100;1,19225E+12;19:00:00;2007;OCTUBRE;SABADO;1,19232E+12;KR 88G-42G S 72;CHOQUE;KENNEDY;1;CONDUCTOR;NA;NA;MASCULINO;38;CONDUCTOR
10546;93706;728460400;1,19657E+12;14:30:00;2007;DICIEMBRE;DOMINGO;1,19662E+12;CL 6-19 67;CHOQUE;LOS MARTIRES;1;MOTOCICLISTA;NA;NA;MASCULINO;29;MOTOCICLISTA
10926;96794;711745400;1,17065E+12;2:45:00;2007;FEBRERO;LUNES;1,17066E+12;AV 1 DE MAYO-KR 82D ;CHOQUE;BOSA;1;MOTOCICLISTA;NA;NA;MASCULINO;21;MOTOCICLISTA
11240;92876;728530100;1,19709E+12;16:00:00;2007;DICIEMBRE;SABADO;1,19715E+12;AV CIRCUNVALAR-CL 53 0;CHOQUE;CHAPINERO;1;CONDUCTOR;NA;NA;MASCULINO;32;CONDUCTOR
11386;98017;711886900;1,16806E+12;21:30:00;2007;ENERO;SABADO;1,16814E+12;KR 77M-65 S ;CHOQUE;BOSA;1;MOTOCICLISTA;NA;NA;MASCULINO;38;MOTOCICLISTA
11769;93976;728271300;1,19614E+12;12:25:00;2007;NOVIEMBRE;MARTES;1,19618E+12;AU NORTE-178 71;CHOQUE;SUBA;1;CONDUCTOR;NA;NA;MASCULINO;44;CONDUCTOR
12411;98089;711902700;1,16797E+12;9:00:00;2007;ENERO;VIERNES;1,16801E+12;KR 1G-70B S ;CHOQUE;USME;1;CONDUCTOR;NA;NA;MASCULINO;25;CONDUCTOR
15732;98945;711995400;1,17169E+12;5:50:00;2007;FEBRERO;SABADO;1,17171E+12;AV CIUDAD DE CALI-CL 20 50;CHOQUE;FONTIBON;1;MOTOCICLISTA;NA;NA;MASCULINO;28;MOTOCICLISTA
16953;99978;712072300;1,16927E+12;21:40:00;2007;ENERO;SABADO;1,16935E+12;AC 22-106 ;CHOQUE;FONTIBON;1;MOTOCICLISTA;NA;NA;MASCULINO;25;MOTOCICLISTA
18020;104935;712471200;1,17324E+12;3:10:00;2007;MARZO;MIERCOLES;1,17326E+12;AU NORTE-137 ;CHOQUE;USAQUEN;1;CONDUCTOR;NA;NA;MASCULINO;29;CONDUCTOR
18022;104937;712471400;1,17402E+12;12:18:00;2007;MARZO;VIERNES;1,17407E+12;AC 116-21 50;CHOQUE;USAQUEN;1;MOTOCICLISTA;NA;NA;MASCULINO;25;MOTOCICLISTA
18373;105721;712538700;1,17298E+12;6:20:00;2007;MARZO;DOMINGO;1,17301E+12;AV CIUDAD DE CALI-CL 81 51;CHOQUE;ENGATIVA;2;CONDUCTOR;NA;NA;MASCULINO;24;CONDUCTOR
18607;102760;712294400;1,17273E+12;16:01:00;2007;MARZO;JUEVES;1,17278E+12;AV CIUDAD DE CALI-CL 1 S 6;CHOQUE;KENNEDY;3;CONDUCTOR;NA;NA;MASCULINO;32;CONDUCTOR
19032;104999;712478000;1,17324E+12;2:55:00;2007;MARZO;MIERCOLES;1,17325E+12;CL 62-82 S 16;CHOQUE;BOSA;2;MOTOCICLISTA;NA;NA;MASCULINO;40;MOTOCICLISTA
19769;99714;712050200;1,16901E+12;11:05:00;2007;ENERO;MIERCOLES;1,16905E+12;AK 68-49A 47;OTRO;ENGATIVA;1;MOTOCICLISTA;NA;NA;MASCULINO;47;MOTOCICLISTA
19871;103828;712385800;1,17229E+12;7:00:00;2007;FEBRERO;SABADO;1,17232E+12;KR 80-71 S ;CHOQUE;BOSA;2;CONDUCTOR;NA;NA;MASCULINO;29;CONDUCTOR
19978;99734;712052400;1,1691E+12;20:10:00;2007;ENERO;JUEVES;1,16917E+12;AV CIUDAD DE CALI-AV EL DORADO ;CHOQUE;FONTIBON;1;CONDUCTOR;NA;NA;MASCULINO;26;CONDUCTOR
20708;98570;711963600;1,16797E+12;14:15:00;2007;ENERO;VIERNES;1,16802E+12;AV BOYACA-CL 43A S 12;CHOQUE;KENNEDY;2;MOTOCICLISTA;NA;NA;MASCULINO;33;MOTOCICLISTA
20798;104128;712409100;1,17221E+12;2:45:00;2007;FEBRERO;VIERNES;1,17222E+12;AV SUBA-AV BOYACA ;CHOQUE;SUBA;1;MOTOCICLISTA;NA;NA;MASCULINO;23;MOTOCICLISTA
24345;108114;712748800;1,17774E+12;3:37:00;2007;ABRIL;SABADO;1,17775E+12;AV CIUDAD VILLAVIC-CL 78 57;CHOQUE;KENNEDY;2;MOTOCICLISTA;NA;NA;MASCULINO;31;MOTOCICLISTA
25222;102471;712272400;1,17212E+12;18:50:00;2007;FEBRERO;JUEVES;1,17219E+12;AV EL DORADO-KR 69A 51;CHOQUE;FONTIBON;1;MOTOCICLISTA;NA;NA;MASCULINO;30;MOTOCICLISTA
25228;102477;712273100;1,1748E+12;4:30:00;2007;MARZO;DOMINGO;1,17482E+12;CL 6-33 32;CHOQUE;PUENTE ARANDA;1;CONDUCTOR;NA;NA;FEMENINO;27;CONDUCTOR
26326;109277;712856800;1,17653E+12;2:00:00;2007;ABRIL;SABADO;1,17653E+12;DG 79-71 17;CHOQUE;ENGATIVA;1;MOTOCICLISTA;NA;NA;MASCULINO;29;MOTOCICLISTA
27841;107413;712683600;1,1748E+12;3:29:00;2007;MARZO;DOMINGO;1,17481E+12;KR 86-24 ;CHOQUE;FONTIBON;1;MOTOCICLISTA;NA;NA;MASCULINO;31;MOTOCICLISTA
28045;113873;726417000;1,18016E+12;3:00:00;2007;MAYO;SABADO;1,18017E+12;AV LAS AMERICA-AV CIUDAD DE CALI 0;OTRO;KENNEDY;1;CONDUCTOR;NA;NA;MASCULINO;33;CONDUCTOR
28522;110786;712997200;1,17774E+12;5:45:00;2007;ABRIL;SABADO;1,17776E+12;CL 13-AV CIUDAD DE CALI ;OTRO;FONTIBON;1;MOTOCICLISTA;NA;NA;MASCULINO;23;MOTOCICLISTA
28594;107416;712683800;1,17497E+12;3:10:00;2007;MARZO;MARTES;1,17498E+12;CL 59-87 S ;CHOQUE;BOSA;1;CONDUCTOR;NA;NA;MASCULINO;41;CONDUCTOR
28694;112022;713115700;1,17895E+12;1:00:00;2007;MAYO;SABADO;1,17895E+12;AV BOYACA-CL 60 S 19;CHOQUE;CIUDAD BOLIVAR;2;MOTOCICLISTA;NA;NA;MASCULINO;23;MOTOCICLISTA
29472;117621;726786300;1,18327E+12;18:00:00;2007;JULIO;DOMINGO;1,18333E+12;KR 79A-70D S 0;CHOQUE;BOSA;2;CONDUCTOR;NA;NA;MASCULINO;35;CONDUCTOR
29474;117623;726786500;1,18344E+12;5:50:00;2007;JULIO;MARTES;1,18346E+12;AV SUBA-AV BOYACA 0;CHOQUE;SUBA;1;MOTOCICLISTA;NA;NA;MASCULINO;27;MOTOCICLISTA
29895;111343;713053400;1,17817E+12;22:50:00;2007;MAYO;JUEVES;1,17825E+12;AC 80-114 0;CHOQUE;ENGATIVA;1;CONDUCTOR;NA;NA;MASCULINO;19;CONDUCTOR
29991;114885;726519000;1,18076E+12;23:00:00;2007;JUNIO;SABADO;1,18084E+12;AK 30-45A 12;CHOQUE;TEUSAQUILLO;1;MOTOCICLISTA;NA;NA;MASCULINO;30;MOTOCICLISTA
31091;113163;726347700;1,17972E+12;21:15:00;2007;MAYO;LUNES;1,1798E+12;CL 40-68 S 29;CHOQUE;KENNEDY;2;MOTOCICLISTA;NA;NA;MASCULINO;22;MOTOCICLISTA
31833;112213;713133600;1,17895E+12;23:00:00;2007;MAYO;SABADO;1,17903E+12;AV VIA USME-KR 75B 22;ATROPELLO;USME;1;MOTOCICLISTA;NA;NA;MASCULINO;46;MOTOCICLISTA
32959;114090;726438000;1,18067E+12;3:30:00;2007;JUNIO;VIERNES;1,18069E+12;TR 33-51 S 30;CHOQUE;TUNJUELITO;1;MOTOCICLISTA;NA;NA;MASCULINO;21;MOTOCICLISTA
33070;117894;726815300;1,18353E+12;6:00:00;2007;JULIO;MIERCOLES;1,18355E+12;AU NORTE-222 0;CHOQUE;USAQUEN;2;MOTOCICLISTA;NA;NA;MASCULINO;30;MOTOCICLISTA
34372;119761;727012200;1,18543E+12;5:30:00;2007;JULIO;JUEVES;1,18545E+12;AK 68-2C 14;CHOQUE;PUENTE ARANDA;3;CONDUCTOR;NA;NA;MASCULINO;22;CONDUCTOR
34675;120501;727102700;1,18629E+12;6:00:00;2007;AGOSTO;DOMINGO;1,18631E+12;TR 33-49A S 0;CHOQUE;TUNJUELITO;1;CONDUCTOR;NA;NA;MASCULINO;26;CONDUCTOR
34680;120506;727104300;1,18629E+12;6:30:00;2007;AGOSTO;DOMINGO;1,18631E+12;AV BOYACA-CL 39 S 78;CHOQUE;KENNEDY;1;CONDUCTOR;NA;NA;MASCULINO;23;CONDUCTOR
35168;118552;726884600;1,18456E+12;9:40:00;2007;JULIO;LUNES;1,1846E+12;AU NORTE-205 0;CHOQUE;USAQUEN;2;CONDUCTOR;NA;NA;MASCULINO;30;CONDUCTOR
35272;114274;726457000;1,18353E+12;23:18:00;2007;JULIO;MIERCOLES;1,18361E+12;AU AL LLANO-48 0;CHOQUE;CIUDAD BOLIVAR;2;MOTOCICLISTA;NA;NA;MASCULINO;23;MOTOCICLISTA
36193;118636;726894000;1,18422E+12;7:00:00;2007;JULIO;JUEVES;1,18424E+12;AV LAS AMERICA-CL 80 0;CHOQUE;KENNEDY;2;CONDUCTOR;NA;NA;MASCULINO;38;CONDUCTOR
36519;115331;726563100;1,18154E+12;2:45:00;2007;JUNIO;LUNES;1,18155E+12;AV BOYACA-CL 69 S 64;CHOQUE;CIUDAD BOLIVAR;1;MOTOCICLISTA;NA;NA;MASCULINO;26;MOTOCICLISTA
36777;120413;727090300;1,18689E+12;23:20:00;2007;AGOSTO;DOMINGO;1,18698E+12;AK 19-147 41;CHOQUE;USAQUEN;1;CONDUCTOR;NA;NA;MASCULINO;19;CONDUCTOR
36922;121874;727256300;1,18845E+12;15:25:00;2007;AGOSTO;JUEVES;1,18851E+12;TR 35-33 S 47;CHOQUE;PUENTE ARANDA;1;CONDUCTOR;NA;NA;MASCULINO;24;CONDUCTOR
39002;118120;726837600;1,18439E+12;7:00:00;2007;JULIO;SABADO;1,18441E+12;KR 94-75 0;CHOQUE;ENGATIVA;2;CONDUCTOR;NA;NA;FEMENINO;22;CONDUCTOR
39143;123850;727473200;1,18905E+12;5:40:00;2007;SEPTIEMBRE;JUEVES;1,18908E+12;AK 86B-53 S 0;CHOQUE;BOSA;1;MOTOCICLISTA;NA;NA;MASCULINO;29;MOTOCICLISTA
39292;121296;727191200;1,18767E+12;5:17:00;2007;AGOSTO;MARTES;1,18769E+12;AV CARACAS-CL 1 S 38;CHOQUE;ANTONIO NARINO;1;CONDUCTOR;NA;NA;MASCULINO;33;CONDUCTOR
39295;121299;727191400;1,1881E+12;22:52:00;2007;AGOSTO;DOMINGO;1,18819E+12;KR 30-18 S 2;CHOQUE;ANTONIO NARINO;1;MOTOCICLISTA;NA;NA;MASCULINO;25;MOTOCICLISTA
39355;123873;727476400;1,18931E+12;8:24:00;2007;SEPTIEMBRE;DOMINGO;1,18934E+12;CL 25-7 S 0;CHOQUE;SAN CRISTOBAL;2;MOTOCICLISTA;NA;NA;MASCULINO;32;MOTOCICLISTA
39673;123623;727453400;1,18983E+12;16:00:00;2007;SEPTIEMBRE;SABADO;1,18989E+12;AV CIUDAD DE QUITO-CL 87 11;CHOQUE;BARRIOS UNIDOS;1;MOTOCICLISTA;NA;NA;MASCULINO;24;MOTOCICLISTA
39779;121089;727166500;1,18638E+12;8:05:00;2007;AGOSTO;LUNES;1,18641E+12;AK 7-102 FRENTEA ESCUELA DE INFANTERIA;CHOQUE;USAQUEN;3;CONDUCTOR;NA;NA;MASCULINO;27;CONDUCTOR
40475;123671;727457800;1,18897E+12;8:37:00;2007;SEPTIEMBRE;MIERCOLES;1,189E+12;KR 2-70 60;CHOQUE;CHAPINERO;1;CONDUCTOR;NA;NA;MASCULINO;45;CONDUCTOR
40712;124660;727567000;1,19044E+12;21:30:00;2007;SEPTIEMBRE;SABADO;1,19051E+12;AV CIUDAD VILLAVIC-KR 69C 0;CHOQUE;CIUDAD BOLIVAR;2;CONDUCTOR;NA;NA;MASCULINO;47;CONDUCTOR
40949;125777;727666400;1,19346E+12;10:05:00;2007;OCTUBRE;SABADO;1,1935E+12;AV CIUDAD DE CALI-KR 91 0;CHOQUE;SUBA;1;CONDUCTOR;NA;NA;MASCULINO;28;CONDUCTOR
41621;123061;727385000;1,1881E+12;7:30:00;2007;AGOSTO;DOMINGO;1,18813E+12;AK 1-77 S 0;CHOQUE;USME;1;CONDUCTOR;NA;NA;MASCULINO;26;CONDUCTOR
43727;124414;727536000;1,18983E+12;12:50:00;2007;SEPTIEMBRE;SABADO;1,18988E+12;AC 80-24 0;CHOQUE;BARRIOS UNIDOS;2;MOTOCICLISTA;NA;NA;MASCULINO;30;MOTOCICLISTA
44889;124254;727516800;1,18992E+12;23:40:00;2007;SEPTIEMBRE;DOMINGO;1,19E+12;CL 11-3A S 21;CHOQUE;SAN CRISTOBAL;1;MOTOCICLISTA;NA;NA;MASCULINO;28;MOTOCICLISTA
